path,tick,conductance
1,95,0.9006325517623872
1,96,0.8995866129553887
1,97,0.9006718675586658
1,98,0.8939254203125307
1,99,0.8916585926884802
2,0,0.5
2,1,0.45075832433327667
2,2,0.42565360370084554
2,3,0.40883853578301516
2,4,0.40018429315521625
2,5,0.36757221523970596
2,6,0.34040822745289817
2,7,0.31807168141194164
2,8,0.3031323933508606
2,9,0.2775370399647656
2,10,0.25887297586166574
2,11,0.2574965824246619
2,12,0.23637959604570222
2,13,0.23558644700221723
2,14,0.2274714056546386
2,15,0.22558539521627013
2,16,0.22026757884017859
2,17,0.2287125309555289
2,18,0.19823987012416075
2,19,0.20607597582771775
2,20,0.18052371804978745
2,21,0.17860431769997048
2,22,0.18618939967893008
2,23,0.18631161384448883
2,24,0.1800324753300454
2,25,0.178408269548175
2,26,0.17209056670736692
2,27,0.169109267696044
2,28,0.1582662011046654
2,29,0.14808809991432872
2,30,0.16603058585783562
2,31,0.1494387719758243
2,32,0.14671956956941057
2,33,0.14512035703192414
2,34,0.13489746272892505
2,35,0.11064249547923487
2,36,0.10676463089236586
2,37,0.09552690503177333
2,38,0.09357036295793232
2,39,0.06987481841343533
2,40,0.06356681967444748
2,41,0.05120065340131467
2,42,0.06091416478681399
2,43,0.06593448650602793
2,44,0.04029627621489132
2,45,0.03273791424186388
2,46,0.03165795416368645
2,47,0.02237741993394364
2,48,0.021915876569215294
2,49,0.01928601481462025
2,50,0.009111757606923215
2,51,0.023497373963115343
2,52,0.035620977664669505
2,53,0.03922825732771008
2,54,0.039310942382282964
2,55,0.03425904384097695
2,56,0.03683699028140468
2,57,0.03788367686054916
2,58,0.033112337829720104
2,59,0.039530885853877144
2,60,0.0382518400585841
2,61,0.04254362973357961
2,62,0.041984279179090776
2,63,0.025599325337645383
2,64,0.021533824505525313
2,65,0.021572207414785896
2,66,0.028166938775352306
2,67,0.017983014541508878
2,68,0.021909588778852084
2,69,0.024049225666792434
2,70,0.029022220795220786
2,71,0.03251046257489457
2,72,0.04306032490678037
2,73,0.03237799874616114
2,74,0.0436055991501726
2,75,0.047216652066650766
2,76,0.06785323829297918
2,77,0.07313861128180776
2,78,0.08596880145603134
2,79,0.09081250464553202
2,80,0.08267916067526061
2,81,0.07674982091815571
2,82,0.08170133582717395
2,83,0.08996932295572757
2,84,0.07811197322157165
2,85,0.08719975705741276
2,86,0.08798705771070556
2,87,0.07326220597845079
2,88,0.07280867264931365
2,89,0.05074991468497012
2,90,0.06965516752271524
2,91,0.06312006168120476
2,92,0.06862597805480278
2,93,0.06495394092392683
2,94,0.07021186479573159
2,95,0.05886233195672822
2,96,0.0728637902062132
2,97,0.055758433905555224
2,98,0.04876823822699722
2,99,0.04832027021671652
3,0,0.5
3,1,0.47751329943928006
3,2,0.4448908463187147
3,3,0.4127060645005748
3,4,0.3812611318369309
3,5,0.36029126913161946
3,6,0.34771360238804744
3,7,0.3323283728253538
3,8,0.3195405093829267
3,9,0.29643698448873734
3,10,0.2804765158613946
3,11,0.24652261465274372
3,12,0.23620252337904718
3,13,0.21973908284928975
3,14,0.20572414900237743
3,15,0.19530441990894404
3,16,0.19463943337415837
3,17,0.17453440314558571
3,18,0.1681794260774177
3,19,0.15565439047957708
3,20,0.16093657045190246
3,21,0.15161035780088428
3,22,0.12030476038100375
3,23,0.12381409217399271
3,24,0.10544277021101062
3,25,0.10111798752049075
3,26,0.11228149694262361
3,27,0.1322397478553951
3,28,0.13293594039762885
3,29,0.12731192590166088
3,30,0.13230493547639077
3,31,0.13153545976193542
3,32,0.13354619300000053
3,33,0.11744084444388506
3,34,0.11596725531764178
3,35,0.10331332809902284
3,36,0.09576231253388018
3,37,0.07750480870888744
3,38,0.08608205362453507
3,39,0.07921648876003008
3,40,0.06937467393500579
3,41,0.061371410410142206
3,42,0.05831369460642534
3,43,0.0589160305224378
3,44,0.059401795717388226
3,45,0.05909209012417127
3,46,0.04571601739015946
3,47,0.0311879918120909
3,48,0.028178274623047356
3,49,0.02272616749013889
3,50,0.022004438823772447
3,51,0.0022074385998733063
3,52,0.007167918183063931
3,53,0.0
3,54,0.0
3,55,0.0
3,56,0.010348397552462058
3,57,0.0010166358285160926
3,58,0.016922731501648833
3,59,0.011487992091863856
3,60,0.016712299982497222
3,61,0.016809619827102024
3,62,0.026897981111176347
3,63,0.029001456016573654
3,64,0.01811678199248467
3,65,0.012189459011109354
3,66,0.024058531460713198
3,67,0.030545070782994028
3,68,0.03036442302788363
3,69,0.025647839963750876
3,70,0.03297148710190377
3,71,0.0263067254969535
3,72,0.020760196014377476
3,73,0.025034348491209998
3,74,0.015835179907245422
3,75,0.013510683040444359
3,76,0.03454884045964118
3,77,0.02914275583423715
3,78,0.05817042588282707
3,79,0.053952206349651546
3,80,0.051475300426728564
3,81,0.061965040589867335
3,82,0.04960896863604164
3,83,0.035415505576732995
3,84,0.05018150462192754
3,85,0.05309653294154679
3,86,0.04870455338133445
3,87,0.0411168630512045
3,88,0.045922707298230524
3,89,0.04915884176355581
3,90,0.050812349766933364
3,91,0.05011423535552099
3,92,0.04944706131407233
3,93,0.032504111978351125
3,94,0.029680945720786847
3,95,0.041996237491590746
3,96,0.0387016987278698
3,97,0.03157105256008821
3,98,0.02479166010955767
3,99,0.03142192251267084
4,0,0.5
4,1,0.45390898793519463
4,2,0.4177188811019792
4,3,0.4086233684307311
4,4,0.37047599753131016
4,5,0.3426718681437645
4,6,0.33444878814763396
4,7,0.31396800644150963
4,8,0.3113431805264546
4,9,0.2860577632494553
4,10,0.25758173163806725
4,11,0.2390530079304604
4,12,0.2212180578065738
4,13,0.20770217032924032
4,14,0.1922215963949352
4,15,0.19023343758117295
4,16,0.19148453866790727
4,17,0.19611483205658878
4,18,0.1757965006924075
4,19,0.1797410229405482
4,20,0.18887248766547082
4,21,0.1967377288648982
4,22,0.1744573687137037
4,23,0.15515750124643599
4,24,0.15350071870115048
4,25,0.14883972513351656
4,26,0.15351295667071088
4,27,0.15214210228492622
4,28,0.14384806169134207
4,29,0.13855216632852066
4,30,0.1267123307458061
