protocol,seed_offset,lifetime_first_death_s
GWO-WBAN,26,1406.7177135086795
GWO-WBAN,27,1427.9967915179402
GWO-WBAN,28,1399.4075706325102
GWO-WBAN,29,1403.826411603959
ACO-WBAN,0,1686.631148017034
ACO-WBAN,1,1709.0369465995354
ACO-WBAN,2,1711.2393592608
ACO-WBAN,3,1699.5092567453853
ACO-WBAN,4,1671.3312513378994
ACO-WBAN,5,1654.8552883470868
ACO-WBAN,6,1680.181839479005
ACO-WBAN,7,1717.6396124737257
ACO-WBAN,8,1707.5744353521388
ACO-WBAN,9,1664.7524680578397
ACO-WBAN,10,1703.446989784858
ACO-WBAN,11,1730.0720117129674
ACO-WBAN,12,1711.0312347906224
ACO-WBAN,13,1726.8865981443105
ACO-WBAN,14,1645.488715433814
ACO-WBAN,15,1721.5128139315323
ACO-WBAN,16,1721.4212427987336
ACO-WBAN,17,1649.3078169974845
ACO-WBAN,18,1705.3857402766573
ACO-WBAN,19,1731.900261213983
ACO-WBAN,20,1681.4374891455784
ACO-WBAN,21,1700.3896209533925
ACO-WBAN,22,1614.568841321093
ACO-WBAN,23,1692.5614020390435
ACO-WBAN,24,1655.0475620642528
ACO-WBAN,25,1660.1894307391387
ACO-WBAN,26,1638.577390594231
ACO-WBAN,27,1704.8342520806734
ACO-WBAN,28,1673.1317127078908
ACO-WBAN,29,1673.2927261296788
M-ATTEMPT,0,1890.6564570093797
M-ATTEMPT,1,1869.9459979794601
M-ATTEMPT,2,1843.1043763765008
M-ATTEMPT,3,1850.5658924339853
M-ATTEMPT,4,1860.9708703663125
M-ATTEMPT,5,1899.0553500218857
M-ATTEMPT,6,1907.9605723346672
M-ATTEMPT,7,1888.9816027257657
M-ATTEMPT,8,1826.8638202171076
M-ATTEMPT,9,1860.3689247657533
M-ATTEMPT,10,1884.3701261248507
M-ATTEMPT,11,1866.8579744678127
M-ATTEMPT,12,1857.4641315430608
M-ATTEMPT,13,1835.5717200974793
M-ATTEMPT,14,1873.5321248542703
M-ATTEMPT,15,1873.272536742533
M-ATTEMPT,16,1867.6531555073225
M-ATTEMPT,17,1847.2115476242004
M-ATTEMPT,18,1816.9117420995276
M-ATTEMPT,19,1905.1495739813424
M-ATTEMPT,20,1847.8272262126702
M-ATTEMPT,21,1924.1240632219979
M-ATTEMPT,22,1890.1708010475625
M-ATTEMPT,23,1859.5493534575469
M-ATTEMPT,24,1874.7236095117587
M-ATTEMPT,25,1873.2023374277587
M-ATTEMPT,26,1846.438568913829
M-ATTEMPT,27,1853.4787258349486
M-ATTEMPT,28,1832.865436634995
M-ATTEMPT,29,1874.8771163341708
AODV,0,2021.187653459847
AODV,1,2007.7691526457506
AODV,2,2060.5571261528935
AODV,3,2129.7202369680085
AODV,4,2044.0226601622662
AODV,5,2083.4707342062543
AODV,6,2095.30042426532
AODV,7,2108.6911993227677
AODV,8,2028.4470409009355
AODV,9,2100.1878828486947
AODV,10,2080.3749528365265
AODV,11,2059.3972525351965
AODV,12,2086.8401159210493
AODV,13,2019.969449206607
AODV,14,2039.1815341286438
AODV,15,2064.2194317610483
AODV,16,2090.09531248877
AODV,17,2079.819321506859
AODV,18,2111.2911294414325
AODV,19,2028.487320978147
AODV,20,2066.089061629811
AODV,21,2159.712247585352
AODV,22,2054.9818649195677
AODV,23,2071.3409907935584
AODV,24,2104.837497376861
AODV,25,2073.2155101036146
AODV,26,2038.294365397343
AODV,27,2129.0243997131683
AODV,28,2086.9938233239022
AODV,29,2139.924063019911
