protocol,velocity_mps,seed_offset,pdr
RL-WBAN,0.0,16,0.9760910211278964
RL-WBAN,0.0,17,0.9696735090447935
RL-WBAN,0.0,18,0.9551340461878319
RL-WBAN,0.0,19,0.9638158515262898
RL-WBAN,0.0,20,0.9596314047729494
RL-WBAN,0.0,21,0.9657494584078635
RL-WBAN,0.0,22,0.9741615739982415
RL-WBAN,0.0,23,0.9655101979655766
RL-WBAN,0.0,24,0.9781669829226527
RL-WBAN,0.0,25,0.9711667682674715
RL-WBAN,0.0,26,0.977030614865746
RL-WBAN,0.0,27,0.964430594457035
RL-WBAN,0.0,28,0.9596437388431472
RL-WBAN,0.0,29,0.9730075728712845
RL-WBAN,0.5,0,0.9404108842408522
RL-WBAN,0.5,1,0.9572835993648584
RL-WBAN,0.5,2,0.9642605930534066
RL-WBAN,0.5,3,0.9520900140287835
RL-WBAN,0.5,4,0.9663578154753218
RL-WBAN,0.5,5,0.9570439054404308
RL-WBAN,0.5,6,0.9544292513898905
RL-WBAN,0.5,7,0.9594209145299046
RL-WBAN,0.5,8,0.9585447161438598
RL-WBAN,0.5,9,0.9571778258780889
RL-WBAN,0.5,10,0.9447156739423952
RL-WBAN,0.5,11,0.9568883867524949
RL-WBAN,0.5,12,0.934795482944077
RL-WBAN,0.5,13,0.9585091705290915
RL-WBAN,0.5,14,0.9523302667353518
RL-WBAN,0.5,15,0.9559981561220645
RL-WBAN,0.5,16,0.9721270568296301
RL-WBAN,0.5,17,0.9550449562908805
RL-WBAN,0.5,18,0.9566116329673285
RL-WBAN,0.5,19,0.9475263058601894
RL-WBAN,0.5,20,0.9547914019366117
RL-WBAN,0.5,21,0.9613156595880662
RL-WBAN,0.5,22,0.9750640748530414
RL-WBAN,0.5,23,0.9467347499462732
RL-WBAN,0.5,24,0.9526595775920051
RL-WBAN,0.5,25,0.9680593339914756
RL-WBAN,0.5,26,0.9518709395278703
RL-WBAN,0.5,27,0.985375142198836
RL-WBAN,0.5,28,0.9669066224742657
RL-WBAN,0.5,29,0.9685565153565254
RL-WBAN,1.0,0,0.9350518272370334
RL-WBAN,1.0,1,0.9400151907061199
RL-WBAN,1.0,2,0.947374204868201
RL-WBAN,1.0,3,0.9292531745903672
RL-WBAN,1.0,4,0.9206702623290306
RL-WBAN,1.0,5,0.934541384402256
RL-WBAN,1.0,6,0.9411990387386537
RL-WBAN,1.0,7,0.9456433257882063
RL-WBAN,1.0,8,0.938870024617986
RL-WBAN,1.0,9,0.9436852070384649
RL-WBAN,1.0,10,0.9615704366040981
RL-WBAN,1.0,11,0.9542445632720934
RL-WBAN,1.0,12,0.9450228788668865
RL-WBAN,1.0,13,0.9520639684208814
RL-WBAN,1.0,14,0.946182725949592
RL-WBAN,1.0,15,0.9363581772005597
RL-WBAN,1.0,16,0.9469608628211453
RL-WBAN,1.0,17,0.9473131839014498
RL-WBAN,1.0,18,0.9722939700355229
RL-WBAN,1.0,19,0.948854149898164
RL-WBAN,1.0,20,0.949192129967542
RL-WBAN,1.0,21,0.934546000850613
RL-WBAN,1.0,22,0.9381016684761135
RL-WBAN,1.0,23,0.9500075496481298
RL-WBAN,1.0,24,0.9509521299189284
RL-WBAN,1.0,25,0.9468558150224929
RL-WBAN,1.0,26,0.9416716368463811
RL-WBAN,1.0,27,0.9466699446751056
RL-WBAN,1.0,28,0.956719351951384
RL-WBAN,1.0,29,0.9482699298192637
RL-WBAN,1.5,0,0.9265713996316018
RL-WBAN,1.5,1,0.9115437452049802
RL-WBAN,1.5,2,0.9274296196604414
RL-WBAN,1.5,3,0.9330791749775467
RL-WBAN,1.5,4,0.9203994865567381
RL-WBAN,1.5,5,0.9349877033014364
RL-WBAN,1.5,6,0.9321141571636419
RL-WBAN,1.5,7,0.9302076715812171
RL-WBAN,1.5,8,0.9335191676119959
RL-WBAN,1.5,9,0.9339528882126658
RL-WBAN,1.5,10,0.9088991707579567
RL-WBAN,1.5,11,0.940803720298593
RL-WBAN,1.5,12,0.938441287199932
RL-WBAN,1.5,13,0.9240286648230941
RL-WBAN,1.5,14,0.9262704597479123
RL-WBAN,1.5,15,0.9272317169819299
RL-WBAN,1.5,16,0.9446528268739398
RL-WBAN,1.5,17,0.9407564123138736
RL-WBAN,1.5,18,0.9333046359817943
RL-WBAN,1.5,19,0.9272286684148383
RL-WBAN,1.5,20,0.9376277927730453
RL-WBAN,1.5,21,0.9316525031808398
RL-WBAN,1.5,22,0.9264678247616482
RL-WBAN,1.5,23,0.9413275031907008
RL-WBAN,1.5,24,0.9439493956215164
RL-WBAN,1.5,25,0.9153799456418508
RL-WBAN,1.5,26,0.9392783195190344
RL-WBAN,1.5,27,0.9454685085486381
RL-WBAN,1.5,28,0.9309099062839088
RL-WBAN,1.5,29,0.9372233174123618
RL-WBAN,2.0,0,0.9290733749592159
RL-WBAN,2.0,1,0.9377497336939483
RL-WBAN,2.0,2,0.9100204257574498
RL-WBAN,2.0,3,0.9328747802887013
RL-WBAN,2.0,4,0.9099747408238053
RL-WBAN,2.0,5,0.9068928768222848
RL-WBAN,2.0,6,0.9201121907993064
RL-WBAN,2.0,7,0.9324726783942093
RL-WBAN,2.0,8,0.9205972351657712
RL-WBAN,2.0,9,0.9047069925087486
RL-WBAN,2.0,10,0.9128245691120782
RL-WBAN,2.0,11,0.9208390868955687
RL-WBAN,2.0,12,0.9090728732350342
RL-WBAN,2.0,13,0.91024352289235
RL-WBAN,2.0,14,0.9097220113301367
RL-WBAN,2.0,15,0.9125053946939395
RL-WBAN,2.0,16,0.9254849073706406
RL-WBAN,2.0,17,0.9331167316835387
RL-WBAN,2.0,18,0.9215832125468447
RL-WBAN,2.0,19,0.9309339887507267
RL-WBAN,2.0,20,0.9034601712167069
RL-WBAN,2.0,21,0.9141910961948464
RL-WBAN,2.0,22,0.9129321890153432
RL-WBAN,2.0,23,0.9309288231717616
RL-WBAN,2.0,24,0.9092272298671538
RL-WBAN,2.0,25,0.9367141546322311
RL-WBAN,2.0,26,0.9141277626760091
RL-WBAN,2.0,27,0.9190943912490914
RL-WBAN,2.0,28,0.8973079415972727
RL-WBAN,2.0,29,0.9112815315673158
RL-WBAN,2.5,0,0.9053605750513252
RL-WBAN,2.5,1,0.9158296202398192
RL-WBAN,2.5,2,0.9094486046986175
RL-WBAN,2.5,3,0.9191125444816785
RL-WBAN,2.5,4,0.9117883220080439
RL-WBAN,2.5,5,0.8814033896480103
RL-WBAN,2.5,6,0.9091469360668789
RL-WBAN,2.5,7,0.8939476026406065
RL-WBAN,2.5,8,0.9204298985720627
RL-WBAN,2.5,9,0.9061447337882007
RL-WBAN,2.5,10,0.908870603025898
RL-WBAN,2.5,11,0.901696862940657
RL-WBAN,2.5,12,0.916960186902551
RL-WBAN,2.5,13,0.9047004525834645
RL-WBAN,2.5,14,0.9120874163269097
RL-WBAN,2.5,15,0.9213339058741624
RL-WBAN,2.5,16,0.9224722229912655
RL-WBAN,2.5,17,0.9187097177114021
RL-WBAN,2.5,18,0.8974456735321891
RL-WBAN,2.5,19,0.8966796877843372
RL-WBAN,2.5,20,0.9090402208274994
RL-WBAN,2.5,21,0.899577610468633
RL-WBAN,2.5,22,0.9154880366594742
RL-WBAN,2.5,23,0.9058959873333436
RL-WBAN,2.5,24,0.9103603120830797
RL-WBAN,2.5,25,0.9043676568610782
RL-WBAN,2.5,26,0.9212003564353706
RL-WBAN,2.5,27,0.9060343488638319
RL-WBAN,2.5,28,0.9150591694534673
RL-WBAN,2.5,29,0.9071440983866351
RL-WBAN,3.0,0,0.8838363801451274
RL-WBAN,3.0,1,0.8877407284015802
RL-WBAN,3.0,2,0.8828337733717073
RL-WBAN,3.0,3,0.892717602161764
RL-WBAN,3.0,4,0.8830833672539797
RL-WBAN,3.0,5,0.8927859631328604
RL-WBAN,3.0,6,0.8821427159322258
RL-WBAN,3.0,7,0.900620727130602
RL-WBAN,3.0,8,0.9112700842706786
RL-WBAN,3.0,9,0.8877275527249822
RL-WBAN,3.0,10,0.8851481035253912
RL-WBAN,3.0,11,0.9011814507361489
RL-WBAN,3.0,12,0.8919060716124364
RL-WBAN,3.0,13,0.9221311998635316
RL-WBAN,3.0,14,0.8899170596345656
RL-WBAN,3.0,15,0.8874264802581819
RL-WBAN,3.0,16,0.9064309731589164
RL-WBAN,3.0,17,0.8854271949774308
RL-WBAN,3.0,18,0.9117223462660732
RL-WBAN,3.0,19,0.8935893984654192
RL-WBAN,3.0,20,0.8767598787740855
RL-WBAN,3.0,21,0.8996564462108626
RL-WBAN,3.0,22,0.9013341046901712
RL-WBAN,3.0,23,0.904131146569785
RL-WBAN,3.0,24,0.8927165131260081
RL-WBAN,3.0,25,0.8941126639442025
RL-WBAN,3.0,26,0.8924757054250699
RL-WBAN,3.0,27,0.890569142415049
RL-WBAN,3.0,28,0.9192725547881371
RL-WBAN,3.0,29,0.900517399154281
PZ-2021,0.0,0,0.9360146685514773
PZ-2021,0.0,1,0.9484821905995141
PZ-2021,0.0,2,0.957610874432233
PZ-2021,0.0,3,0.9621779666689054
PZ-2021,0.0,4,0.9625597942620513
PZ-2021,0.0,5,0.9626762749014984
PZ-2021,0.0,6,0.9585258232151576
PZ-2021,0.0,7,0.9714556371314895
PZ-2021,0.0,8,0.9548875476930575
PZ-2021,0.0,9,0.9608536786356033
PZ-2021,0.0,10,0.9676039228159207
PZ-2021,0.0,11,0.9627786298744766
PZ-2021,0.0,12,0.9498538837131842
PZ-2021,0.0,13,0.9701625878059057
PZ-2021,0.0,14,0.9565669831920861
PZ-2021,0.0,15,0.9518779531771524
PZ-2021,0.0,16,0.9729068180094197
PZ-2021,0.0,17,0.9726284919082027
PZ-2021,0.0,18,0.9575117094340873
PZ-2021,0.0,19,0.9675027308209934
PZ-2021,0.0,20,0.9734511435257844
PZ-2021,0.0,21,0.9621025971530843
PZ-2021,0.0,22,0.9612914427284946
PZ-2021,0.0,23,0.9586262427261044
PZ-2021,0.0,24,0.9674328203122039
PZ-2021,0.0,25,0.9612610532748994
PZ-2021,0.0,26,0.9585136518442471
PZ-2021,0.0,27,0.9555130204056873
PZ-2021,0.0,28,0.9683315399647572
PZ-2021,0.0,29,0.9714039801067205
PZ-2021,0.5,0,0.9385126442911063
PZ-2021,0.5,1,0.9485576952864934
PZ-2021,0.5,2,0.9645651037994603
PZ-2021,0.5,3,0.9609324203137124
PZ-2021,0.5,4,0.9594206344491102
PZ-2021,0.5,5,0.950115144053633
PZ-2021,0.5,6,0.9395986356096199
PZ-2021,0.5,7,0.9563881266336434
PZ-2021,0.5,8,0.9432284598350519
PZ-2021,0.5,9,0.9695595033071153
PZ-2021,0.5,10,0.9461219887589281
PZ-2021,0.5,11,0.9731603006417797
PZ-2021,0.5,12,0.9423571373110775
PZ-2021,0.5,13,0.9638997342853843
PZ-2021,0.5,14,0.9493373070513508
PZ-2021,0.5,15,0.9529770932919807
PZ-2021,0.5,16,0.9689093434754306
PZ-2021,0.5,17,0.9475829245576316
PZ-2021,0.5,18,0.9369941486233293
PZ-2021,0.5,19,0.945688197765506
PZ-2021,0.5,20,0.9393687435872489
PZ-2021,0.5,21,0.9495258790634303
PZ-2021,0.5,22,0.9520476764418568
PZ-2021,0.5,23,0.9517547699813839
PZ-2021,0.5,24,0.9651030205362506
PZ-2021,0.5,25,0.9490174826346481
PZ-2021,0.5,26,0.9371099119755684
PZ-2021,0.5,27,0.9532735223415113
PZ-2021,0.5,28,0.942440684613845
PZ-2021,0.5,29,0.9421386591649583
PZ-2021,1.0,0,0.9434527251124631
PZ-2021,1.0,1,0.9173932781331801
PZ-2021,1.0,2,0.9479087044000999
PZ-2021,1.0,3,0.9211460702405146
PZ-2021,1.0,4,0.924375315331063
PZ-2021,1.0,5,0.9140193731559808
PZ-2021,1.0,6,0.9155166317387016
PZ-2021,1.0,7,0.9409048100318228
PZ-2021,1.0,8,0.9366629386804077
PZ-2021,1.0,9,0.9363380170143681
PZ-2021,1.0,10,0.9564956549747059
PZ-2021,1.0,11,0.9358462191452425
PZ-2021,1.0,12,0.9291987431512644
PZ-2021,1.0,13,0.9259508141535054
PZ-2021,1.0,14,0.9252750420098281
PZ-2021,1.0,15,0.9262434705822629
PZ-2021,1.0,16,0.9265183231076219
PZ-2021,1.0,17,0.9462190142485901
PZ-2021,1.0,18,0.9397036852864048
PZ-2021,1.0,19,0.9442421389965799
PZ-2021,1.0,20,0.9141374627149046
PZ-2021,1.0,21,0.953478269670712
PZ-2021,1.0,22,0.9252475198926209
PZ-2021,1.0,23,0.9401922812892474
PZ-2021,1.0,24,0.9349853033099522
PZ-2021,1.0,25,0.9349028633974404
PZ-2021,1.0,26,0.9323270524523359
PZ-2021,1.0,27,0.9285307817681892
PZ-2021,1.0,28,0.9216247153713941
PZ-2021,1.0,29,0.9231719688471502
PZ-2021,1.5,0,0.9204119065898091
PZ-2021,1.5,1,0.9142684660450002
PZ-2021,1.5,2,0.9390906846603484
PZ-2021,1.5,3,0.9202037718926436
PZ-2021,1.5,4,0.9225627697617537
PZ-2021,1.5,5,0.943155257037778
PZ-2021,1.5,6,0.9279078583843331
PZ-2021,1.5,7,0.9014028598294059
PZ-2021,1.5,8,0.91630408963347
PZ-2021,1.5,9,0.922588900693749
PZ-2021,1.5,10,0.9079203318261728
PZ-2021,1.5,11,0.9243933494492913
PZ-2021,1.5,12,0.9254024787765358
PZ-2021,1.5,13,0.9107056856851496
PZ-2021,1.5,14,0.9035436228417183
PZ-2021,1.5,15,0.9210106930057703
PZ-2021,1.5,16,0.9002080152348493
PZ-2021,1.5,17,0.9255579404382126
PZ-2021,1.5,18,0.9142716951281076
PZ-2021,1.5,19,0.9182050177929774
PZ-2021,1.5,20,0.909728418411594
PZ-2021,1.5,21,0.9251078844035013
PZ-2021,1.5,22,0.9176765561709836
PZ-2021,1.5,23,0.9310132005994884
PZ-2021,1.5,24,0.921683083896117
PZ-2021,1.5,25,0.9156898968497323
PZ-2021,1.5,26,0.905411521085526
PZ-2021,1.5,27,0.9256386642555184
PZ-2021,1.5,28,0.9201651778139887
PZ-2021,1.5,29,0.9094950286861618
PZ-2021,2.0,0,0.8983063804588513
PZ-2021,2.0,1,0.8948106093588446
PZ-2021,2.0,2,0.9250690355858379
PZ-2021,2.0,3,0.8984147556544646
PZ-2021,2.0,4,0.9010340419063221
PZ-2021,2.0,5,0.9052648076190151
PZ-2021,2.0,6,0.8935279687495028
PZ-2021,2.0,7,0.9056513749537813
PZ-2021,2.0,8,0.9210943575121918
PZ-2021,2.0,9,0.9117875604057611
PZ-2021,2.0,10,0.907082343042508
PZ-2021,2.0,11,0.9028081752406761
PZ-2021,2.0,12,0.9100734893949782
PZ-2021,2.0,13,0.9142142986283416
PZ-2021,2.0,14,0.9139692025829778
PZ-2021,2.0,15,0.9102874417580146
PZ-2021,2.0,16,0.8983549082110311
PZ-2021,2.0,17,0.9055729010312971
PZ-2021,2.0,18,0.9035471854919066
PZ-2021,2.0,19,0.9205138561835319
PZ-2021,2.0,20,0.8919468442690046
PZ-2021,2.0,21,0.9005312544879853
PZ-2021,2.0,22,0.8828969457181509
PZ-2021,2.0,23,0.9344843675209705
PZ-2021,2.0,24,0.9091886944625476
PZ-2021,2.0,25,0.8958359982627203
PZ-2021,2.0,26,0.9041129853727786
PZ-2021,2.0,27,0.913106218847015
PZ-2021,2.0,28,0.9140509221187438
PZ-2021,2.0,29,0.9091217369943764
PZ-2021,2.5,0,0.8963186033232948
PZ-2021,2.5,1,0.8924799186121031
PZ-2021,2.5,2,0.8926812145203825
PZ-2021,2.5,3,0.8865553014992972
PZ-2021,2.5,4,0.903453140790999
PZ-2021,2.5,5,0.8747417062738331
