velocity_mps,snr_dB,cdf
2.0,-4.371859296482412,0.0
2.0,-4.1708542713567835,0.0
2.0,-3.9698492462311554,0.0002
2.0,-3.7688442211055273,0.0002
2.0,-3.567839195979899,0.0002
2.0,-3.366834170854271,0.0002
2.0,-3.165829145728643,0.0002
2.0,-2.964824120603015,0.0004
2.0,-2.7638190954773867,0.0004
2.0,-2.5628140703517586,0.0004
2.0,-2.3618090452261304,0.0006
2.0,-2.1608040201005023,0.0008
2.0,-1.9597989949748733,0.0012
2.0,-1.7587939698492452,0.0012
2.0,-1.557788944723617,0.0014
2.0,-1.356783919597989,0.0018
2.0,-1.1557788944723608,0.0022
2.0,-0.9547738693467327,0.0024
2.0,-0.7537688442211046,0.0028
2.0,-0.5527638190954764,0.0028
2.0,-0.3517587939698483,0.0032
2.0,-0.1507537688442202,0.0034
2.0,0.05025125628140792,0.0034
2.0,0.25125628140703604,0.0042
2.0,0.45226130653266416,0.0044
2.0,0.6532663316582923,0.0052
2.0,0.8542713567839204,0.0058
2.0,1.0552763819095485,0.0058
2.0,1.2562814070351767,0.0058
2.0,1.4572864321608048,0.0064
2.0,1.658291457286433,0.0076
2.0,1.859296482412061,0.0098
2.0,2.060301507537689,0.0112
2.0,2.2613065326633173,0.0118
2.0,2.4623115577889454,0.0142
2.0,2.6633165829145735,0.0166
2.0,2.8643216080402016,0.0188
2.0,3.0653266331658298,0.02
2.0,3.266331658291458,0.0222
2.0,3.467336683417086,0.0244
2.0,3.668341708542714,0.0264
2.0,3.8693467336683423,0.0292
2.0,4.07035175879397,0.0326
2.0,4.2713567839195985,0.0354
2.0,4.472361809045227,0.0384
2.0,4.673366834170855,0.0428
2.0,4.874371859296483,0.0488
2.0,5.075376884422111,0.0542
2.0,5.276381909547739,0.0586
2.0,5.477386934673367,0.0648
2.0,5.678391959798995,0.071
2.0,5.8793969849246235,0.0768
2.0,6.080402010050253,0.0838
2.0,6.2814070351758815,0.093
2.0,6.48241206030151,0.1022
2.0,6.683417085427138,0.1118
2.0,6.884422110552766,0.1196
2.0,7.085427135678394,0.1276
2.0,7.286432160804022,0.136
2.0,7.48743718592965,0.1428
2.0,7.688442211055278,0.1564
2.0,7.8894472361809065,0.1676
2.0,8.090452261306535,0.1792
2.0,8.291457286432163,0.1882
2.0,8.49246231155779,0.2046
2.0,8.693467336683419,0.2184
2.0,8.894472361809047,0.2306
2.0,9.095477386934675,0.2468
2.0,9.296482412060303,0.2624
2.0,9.497487437185931,0.2756
2.0,9.69849246231156,0.2912
2.0,9.899497487437188,0.3082
2.0,10.100502512562816,0.3256
2.0,10.301507537688444,0.3446
2.0,10.502512562814072,0.3592
2.0,10.7035175879397,0.3752
2.0,10.904522613065328,0.3914
2.0,11.105527638190956,0.4102
2.0,11.306532663316585,0.43
2.0,11.507537688442213,0.4476
2.0,11.70854271356784,0.467
2.0,11.909547738693469,0.4894
2.0,12.110552763819097,0.5112
2.0,12.311557788944725,0.5284
2.0,12.512562814070353,0.5472
2.0,12.713567839195981,0.5636
2.0,12.91457286432161,0.5836
2.0,13.115577889447238,0.598
